# number|area|cognition|question|correct|wrong1|wrong2|wrong3|explanation|source
173|E|application|At corresponding affinity-law points, a pump produces 20 m head at 1000 rpm. Estimate head at 1200 rpm.|28.8 m|24.0 m|34.6 m|16.7 m|Head scales with speed squared: 20 × (1200/1000)² = 28.8 m. This is a similarity estimate, not a complete installed-system prediction.|math
174|E|application|Assuming affinity-law similarity and unchanged efficiency, a pump needs 10 kW at 1000 rpm. Estimate power at 1200 rpm.|17.28 kW|12.00 kW|14.40 kW|8.33 kW|Power scales with the speed ratio cubed: 10 × 1.2³ = 17.28 kW. Check actual efficiency and system operation separately.|math
175|L|application|A VFD reduces speed at a station with substantial static lift, but discharge nearly stops. What should be reviewed?|Whether reduced pump head still exceeds the system requirement|Whether cube-law savings alone justify the setting|Whether the lower speed proves adequate solids transport|Whether the VFD automatically reduces static elevation|A VFD changes pump characteristics, not the physical lift. Check the operating point and acceptable flow range before selecting speed.|lift
178|L|application|Active wet-well volume is 12 m³. Inflow remains 20 L/s while one pump discharges 60 L/s. How long is drawdown between start and stop levels?|300 s|200 s|600 s|150 s|Net removal is 60 − 20 = 40 L/s. Run time is 12000/40 = 300 s; inflow continues during pumping.|math
179|L|application|A station has 90 m³ usable emergency storage and no pumping. At constant inflow of 50 L/s, how long until that storage is exhausted?|30 minutes|18 minutes|45 minutes|60 minutes|Storage time is 90000/50 = 1800 s = 30 minutes. This idealized estimate excludes changing inflow and any inaccessible volume.|math
181|L|recall|On a pump performance curve at a specified speed and impeller size, what is the best efficiency point?|The point of greatest hydraulic efficiency|The point of zero discharge|The point of highest motor current|The point of highest free discharge|BEP refers to efficiency, not necessarily maximum flow, head or power. The acceptable operating range still matters.|lift
182|L|application|Force-main resistance increases while the same fixed-speed pump continues running. What identifies the new steady operating point?|Intersection of the pump curve and revised system curve|The old BEP regardless of system resistance|The motor's full-load current alone|The original design flow fixed independently of head|The duty point must satisfy both pump head and system head at the same flow. A resistance change can move that point.|math
184|L|recall|When constructing a combined curve for two pumps in series, how are their contributions combined?|Add head at a common flow|Add flow at a common head|Add efficiency percentages|Subtract static head from each pump curve|Series pumping adds head for the flow through both pumps. The installed flow is then found from the combined curve and system curve.|math
186|L|application|A high-level alarm uses the same fouled transmitter as pump control and fails to warn of rising sewage. Which improvement addresses this dependency?|An appropriately independent high-level detection arrangement|A duplicate alarm derived from the same unverified level signal|A longer alarm delay using the same fouled signal|A larger pump without checking the failed measurement|A shared measurement can defeat both control and warning. Evaluate independent detection and test the complete alarm path.|lift
188|L|recall|What does a centrifugal pump's shutoff head describe?|Its developed head at zero discharge for the stated speed|Its head at maximum hydraulic efficiency|Its guaranteed maximum head for every curve shape|Its static suction elevation above the wet well|Shutoff identifies zero-flow head. Whether it is the curve's maximum depends on curve shape; deadheading also has operating risks.|lift
190|L|application|A station pumps 0.050 m³/s through 20 m total head using 20 kW electrical input. Use rho = 1000 kg/m³ and g = 9.81 m/s². What is wire-to-water efficiency?|49.1%|98.1%|24.5%|40.0%|Hydraulic power is rho g Q H = 9810 W. Efficiency is 9.81/20 × 100 = 49.05%, approximately 49.1%.|math
192|E|application|CCTV shows a clear water surface but cannot see the submerged invert. What can the report defensibly state?|Visible findings with the submerged area recorded as unassessed|The complete circumference is free from defects|No deposits exist below the waterline|The unseen invert has the same condition as the crown|Inspection conclusions must respect actual coverage. Use an appropriate complementary method when the unobserved area affects the decision.|om
193|M|application|Sewer flow remains elevated for days after rain as groundwater recedes. Joint leakage is visible below the water table. Which source is most consistent with this evidence?|Groundwater infiltration|Direct roof-leader inflow alone|An increase in household fixture usage alone|Exfiltration from the sewer into dry soil|The sustained groundwater relationship and observed leakage support infiltration. Timing alone would not identify the source conclusively.|om
194|M|application|Flow rises sharply within minutes of rainfall, and dye confirms a roof drain connects to the sanitary sewer. What has been demonstrated?|A direct stormwater inflow pathway|Groundwater infiltration through every joint|Exfiltration from the sanitary sewer|An increase in domestic base flow|The dye trace identifies a direct runoff connection. It does not quantify all catchment I/I or establish other defects.|om
196|E|recall|What is the principal benefit of standardized sewer inspection coding?|Consistent descriptions and comparison of observed defects|A guaranteed remaining life for every pipe|A legal repair deadline derived from any single grade|A replacement for inspection location records|Consistent coding makes observations comparable. Asset decisions also require location, consequences and appropriate interpretation.|om
198|E|application|Smoke emerges from a building connection during an authorized sewer smoke test. What should the crew do?|Document and investigate the pathway under the test procedure|Declare the entire building's plumbing illegal immediately|Assume smoke proves groundwater infiltration volume|Treat the result as proof that all other connections are sound|Smoke identifies a pathway needing interpretation and confirmation. Notify affected parties appropriately and avoid unsupported legal conclusions.|om
199|M|application|Dye introduced at a suspect drain appears at two downstream locations. What is the strongest conclusion?|The observations help establish the drain's connected flow paths|The dye concentration establishes the pipe's structural grade|Every branch has equal flow because dye reached both|The test proves the source complies with discharge limits|Tracing establishes connectivity under the test conditions. It does not by itself measure branch flow, structure or compliance.|om
200|E|application|A portable area-velocity sensor is buried by grit during a monitoring survey. What should happen to affected readings?|Flag the interval and assess measurement validity before use|Treat the reported low velocity as confirmed system performance|Convert every affected reading to zero flow|Increase the pipe roughness until the model fits the readings|Sensor obstruction can invalidate data. Preserve the evidence and distinguish measurement failure from hydraulic behaviour.|om
201|C|application|A main blocks every four months despite annual cleaning. What should the maintenance review do?|Use recurrence evidence to reassess interval and underlying cause|Retain annual cleaning because it is a standard calendar period|Increase the interval to reduce interference with flow|Replace the pipe solely because one calendar target was missed|Maintenance frequency should respond to actual risk and recurrence. Cleaning may also need a source or defect intervention.|om
203|C|application|A manhole inspection finds a sound barrel but displaced benching that traps debris. What should the report recommend?|Assess and correct the flow-channel defect|Rate the entire structure satisfactory because its walls are sound|Replace the cover as the sole corrective action|Increase downstream pump speed without addressing the obstruction|Operational defects can matter even when structural walls are sound. Record and address the specific flow restriction.|om
205|C|application|A crew proposes an inflatable plug while upstream flow continues. Which issue must the isolation plan address?|Plug rating, restraint, upstream head and safe flow management|Inflation pressure alone without sewage head|The assumption that a plug eliminates upstream accumulation|The pipe diameter without the plug's rated conditions|Plugs can dislodge or fail under pressure. A complete plan addresses restraint, exclusion zones and continuing inflow.|confined
206|C|application|A CIPP installation is complete but service connections remain covered. What must be resolved before normal service returns?|Verified reinstatement and acceptance of required connections|Acceptance based solely on liner curing time|Higher upstream water use to reopen the connections|Assuming every connection opens automatically during cure|A sound liner does not establish connected service. Reinstatement and acceptance checks are part of completion.|om
207|C|application|Pipe bursting is proposed close to a fragile utility crossing. What should be assessed before selection?|Displacement effects, clearances and site-specific feasibility|The replacement pipe's smoothness as the sole criterion|An assumption that trenchless work causes no ground movement|The original pipe diameter without the expansion requirement|Bursting displaces existing pipe and surrounding ground. Nearby utilities and ground conditions can constrain suitability.|om
209|C|application|A spray-applied rehabilitation system is proposed for a sewer exposed to acid attack. What should acceptance evidence establish?|Exposure compatibility, preparation and specified installed performance|Product thickness without adhesion or substrate evidence|A claim that all cementitious and epoxy products behave alike|Visual gloss as proof of watertightness and structural capacity|System performance depends on the material and installation. Do not infer every repair function from the term spray lining.|om
210|C|application|Inspection finds one displaced joint while adjacent sections are sound. What supports choosing a point repair?|The defect's extent and feasibility of a durable local correction|The rule that all displaced joints require full-network replacement|Pipe age without considering inspection evidence|The assumption that lining always corrects significant displacement|A localized repair may be appropriate when it addresses the actual defect without ignoring broader deterioration.|om
213|M|application|A proposed industrial discharge could corrode collection assets. Which requirement should source-control staff check?|The applicable sewer-use and discharge authorization conditions|The drinking-water aesthetic objectives alone|The supplier's disposal suggestion without local requirements|The sewer's design population as a discharge limit|Sewer-use controls protect conveyance and downstream processes. Apply the actual local conditions rather than an unrelated standard.|om
214|M|application|An industrial user proposes dilution instead of its required pretreatment. What is the proper review basis?|Whether the proposed discharge meets the actual authorization and treatment obligations|Whether the diluted sample looks clear|Whether dilution lowers one measured concentration regardless of conditions|Whether the user pays a higher water bill|Do not equate dilution with authorized treatment. Confirm the applicable obligations and potential system effects.|om
217|C|application|An I/I program repairs mains, but measurements indicate substantial inflow through manhole covers. What should be reconsidered?|The intervention mix against verified entry pathways|The conclusion that every remaining increase is unavoidable|The assumption that main lining seals covers|The extension of main lining without investigating entry points|Different pathways need different controls. Revisit source evidence rather than repeating an intervention that cannot address the remaining route.|om
218|S|application|During a compliance review, work orders show planned cleaning but no evidence it occurred. What additional evidence is relevant?|Completed field records and verification of the required work|The original maintenance budget alone|The number of scheduled activities alone|A general statement that crews were busy|Planned work is not completed work. Traceable field evidence supports assessment of actual implementation.|om
219|M|application|A development adds peak flow upstream of an already surcharged trunk. What should be evaluated before accepting the connection?|Cumulative hydraulic effects and applicable capacity criteria|The new lateral's capacity without downstream effects|The developer's average flow without peak conditions|The assumption that payment establishes available capacity|Connection decisions need the receiving system's capacity and service constraints, not only the new connection's dimensions.|om
220|S|application|A risk register assigns a critical trunk high risk, but its renewal is absent from the asset plan. What should management reconcile?|The risk treatment, priority and funding decision|The register's wording without reviewing actions|The pipe's historical cost as the sole priority|The assumption that registering risk controls it|An asset plan should connect assessed risk to justified action or documented treatment. Identification alone does not reduce exposure.|om
221|S|application|A newly certified operator is assigned an unfamiliar station. What still needs to be established?|Site-specific competence and authorized responsibilities|That certification automatically proves knowledge of every local configuration|That equipment familiarization is unnecessary at the same class|That previous experience replaces all local procedures|Certification is important but does not establish familiarity with every installation. Verify the specific work and responsibility requirements.|mb
222|S|application|A reporting template omits a parameter required by the current operating authorization. Which should control the report?|The current applicable requirement|The template because it was used last year|The shortest available reporting format|The parameters requested by a different utility|Templates support reporting but do not override actual obligations. Correct the template and preserve the required evidence.|om
223|S|application|A wet well has an open hatch and daylight entering it. How should entry classification be determined?|By the space and task hazards under applicable requirements|By treating every open hatch as unrestricted outdoor work|By the duration of the planned task alone|By the entrant's familiarity with the station|Opening a hatch does not eliminate confined-space hazards. Use the applicable assessment and entry process.|confined
224|E|application|A jetting truck's fill hose can become submerged in contaminated water. What must the fill arrangement prevent?|Backflow into the potable supply|Forward flow into the truck tank|Variation in truck engine speed|All air entering the truck's wastewater hose|An unsafe cross-connection can expose the drinking-water supply to contamination. Use the required approved separation or backflow protection.|om
227|C|application|Design assumptions specify average sanitary flow 20 L/s, sanitary peaking factor 3 and an already-peak I/I allowance 10 L/s. What is the combined design flow?|70 L/s|90 L/s|30 L/s|60 L/s|Apply the factor to sanitary flow only: 20 × 3 + 10 = 70 L/s. Multiplying the already-peak I/I allowance again would double-count peaking.|math
229|C|application|An incoming sewer enters well above the outgoing invert and creates splashing and erosion. What should the design review consider?|An appropriate drop arrangement and controlled energy dissipation|Raising the downstream invert without checking capacity|Removing the channel to let flow find its own path|Adding a restriction solely to raise upstream levels|A suitable drop detail manages the elevation change while maintaining access and hydraulic performance.|om
233|C|application|A rigid pipe meets its product strength class but has poorly placed bedding. What remains a structural concern?|Installed support and load distribution|The assumption that product strength guarantees installed performance|The assumption that an acceptable leak test establishes soil support|The original slope calculation as proof of structural adequacy|Installed loading depends on support as well as pipe strength. Bedding quality must meet the approved design.|om
234|C|application|A trench is narrowed until crews cannot safely compact the specified haunch material. What should be resolved?|Safe access and the approved installation requirements|Maintaining the narrowest width regardless of compaction|Omitting haunch compaction to avoid widening|Substituting pressure rating for embedment requirements|Excavation geometry must support safe work and proper installation. Minimum excavation cost is not the only criterion.|confined
235|C|application|Concrete crown corrosion is linked to sewer-gas exposure. Which replacement assessment is appropriate?|Material or lining resistance to the actual chemical exposure|Selection based solely on compressive strength|Selection based solely on external soil acidity|Assuming greater nominal diameter stops acid attack|Internal corrosion exposure differs from structural loading and external conditions. Match the protection to the verified mechanism.|force
236|C|application|A force main's high-point air valve is isolated after a maintenance error. Pump flow falls at comparable speed. What should be investigated?|Trapped air and the valve's actual operating condition|A permanent reduction of static lift|The conclusion that the impeller must be larger|An assumed drop in pipe roughness|Air accumulation can change hydraulic performance. Confirm the condition before assigning the loss to pump deterioration.|force
237|L|application|Wet-well level rises rapidly just after pump shutdown, and reverse flow is measured. Which component needs investigation?|The discharge check valve and reverse-flow path|The motor overload setting as a substitute for reverse-flow isolation|The pump alternation timer without inspecting the hydraulic path|The pump's forward-flow efficiency at BEP alone|A failed or obstructed check valve can permit return flow. Confirm the actual pathway and arrange safe inspection.|lift
239|C|application|A new gravity sewer passes CCTV inspection but the specified leakage test fails. What is the correct acceptance response?|Investigate and correct the leakage before acceptance|Accept the pipe because CCTV overrides other tests|Increase the allowable leakage without authorization|Replace the test with a visual check of the road surface|Different tests address different requirements. Clear video does not establish watertightness.|om
242|E|application|For this calculation, methane's LEL is 5% by volume. A correctly configured meter reads 10% LEL. What methane concentration does that correspond to?|0.5% by volume|5% by volume|10% by volume|50% by volume|10% of 5% is 0.5% by volume. A reading in percent LEL is not the same as percent gas; this calculation does not authorize entry.|math
243|S|recall|NIOSH lists hydrogen sulfide's IDLH concentration as 100 ppm. How should that value be interpreted?|A danger benchmark, not a routine safe-work limit|A concentration acceptable for any eight-hour shift|A universal Manitoba low-alarm setting|A threshold below which smell is a reliable safeguard|IDLH is not an occupational exposure allowance. NIOSH also warns that smell cannot reliably indicate continued H2S presence.|niosh
246|S|application|A retrieval line would snag around internal piping during rescue. What should happen before entry?|Revise and verify the rescue arrangement for the actual geometry|Assume a tripod guarantees non-entry retrieval|Increase winch force without assessing the obstruction|Treat the snag as a problem to solve after an incident|Non-entry retrieval must be feasible for the space and task. Equipment presence alone does not establish effective rescue.|confined
247|E|application|A ventilation duct draws air close to generator exhaust. What should the crew correct?|The intake location and verified supply-air quality|The entry duration while keeping the intake unchanged|The gas alarm thresholds to accommodate exhaust|The fan speed alone without checking where its air is drawn from|Ventilation can introduce contaminants if its intake is poorly located. Confirm that supplied air and delivery arrangements are suitable.|confined
250|S|application|Traffic cones guide drivers around a manhole but do not protect workers from vehicle intrusion. What should be reviewed?|The complete traffic-control and worker-protection arrangement|The assumption that cones function as crash barriers|The replacement of all controls with high-visibility clothing|The sewer's hydraulic capacity as the exposure measure|Traffic delineation and physical impact protection are different functions. Use a plan appropriate to the actual roadway risks.|confined
254|S|application|During hot weather, a crew's workload increases while its existing rest plan stays unchanged. What should the supervisor reassess?|Heat exposure, workload and suitable preventive controls|Air temperature alone without task demands|The assumption that experienced workers cannot develop heat illness|Water availability as the sole control|Heat risk depends on work and environmental conditions. Reassess the plan and recognize symptoms promptly.|heat
257|S|application|A remote sewer crew moves farther from medical assistance. What should the first-aid plan review?|Required personnel, supplies and emergency transport arrangements|Worker count alone without location or hazards|The previous site plan without checking access|The assumption that mobile coverage guarantees timely treatment|First-aid arrangements must suit the work and location under applicable requirements. Distance and access can change response needs.|confined
258|S|application|A chemical's SDS is available only through a portal that fails at the remote worksite. What should be established before handling?|Reliable access to the relevant hazard and response information|Reliance on the original container label without the required response detail|Use of a different chemical's SDS from the truck|Assumption that internet availability can be resolved after exposure|Workers need usable hazard information where the work occurs. Plan access that remains reliable under actual site conditions.|confined
259|S|application|An emergency plan lists contacts but no decision authority or response tasks. What is the main gap?|Who does what and how protective actions are coordinated|Leave notification decisions to whichever contractor arrives first|Use the ordinary work-order priority queue for all emergency decisions|The order of routine cleaning records|Contact details are useful but do not define response. Assign responsibilities and actions for credible incidents.|om
260|M|recall|Which condition promotes biological sulfide generation in wastewater collection systems?|Anaerobic conditions supporting sulfate reduction|High dissolved oxygen throughout the flow|Absence of sulfur compounds in all forms|Ultraviolet exposure at the water surface|Sulfate-reducing organisms can generate sulfide under anaerobic conditions. Actual rates depend on wastewater and environmental conditions.|force
261|M|recall|What is a principal mechanism of sewer-crown acid corrosion in concrete?|Oxidation of sulfide on moist surfaces producing sulfuric acid|Direct conversion of concrete into methane by pump vibration|Neutralization of acid by dry air alone|Deposition of calcium carbonate as the sole cause of acid loss|Biological sulfur transformations can acidify moist surfaces above the wastewater. Identify exposure and material loss before choosing repairs.|force
262|C|application|Grease repeatedly accumulates downstream of food-service connections. Which response addresses recurrence rather than just clearance?|Combine removal with investigation and control of the discharge source|Increase jetting pressure indefinitely without source investigation|Assume warmer wastewater permanently solves deposition|Move the inspection boundary beyond the deposit|Cleaning removes accumulated material; source control helps prevent recurrence. Confirm the actual contributors and applicable requirements.|om
266|M|application|A leaking sewer runs above the local groundwater table. Why is a falling measured sewer flow not necessarily good news?|Wastewater may be escaping into surrounding ground|It proves groundwater infiltration has been eliminated safely|It proves all customer water use fell|It guarantees lower environmental risk|Exfiltration can reduce measured downstream flow while contaminating soil or water. Investigate the water balance and leakage evidence.|om
267|M|recall|What distinguishes a combined-sewer overflow from ordinary separate stormwater runoff?|It can contain sanitary wastewater mixed with stormwater|It is a discharge of treated effluent without stormwater contribution|It is groundwater drainage that excludes sanitary wastewater|It is surface runoff from a separate storm sewer without sanitary connections|Combined systems convey both sewage and runoff. Overflow characteristics and treatment depend on the actual system and event.|om
268|L|application|An odour biofilter's performance declines after its media dries out. What is the most relevant check?|Moisture and other conditions needed for biological treatment|The assumption that drier media always adsorb more sulfide|An immediate doubling of air flow without checking contact conditions|The wastewater pump's nameplate horsepower alone|Biofilters rely on suitable biological operating conditions. Check the media and loading before selecting a corrective adjustment.|force
269|C|application|A repair stops visible infiltration during high groundwater. What further evidence is needed before claiming durable watertightness?|Acceptance evidence and follow-up under relevant conditions|The completed repair length without follow-up inflow evidence|The contractor's travel distance|The original installation date alone|One observation may not establish lasting performance over changing conditions. Verify the repair against appropriate criteria.|om
270|M|application|Permeable pavement reduces runoff to a combined sewer, but nearby groundwater rises. What should be evaluated?|Net effects on connected runoff and groundwater entry pathways|The assumption that every infiltration measure reduces sanitary I/I|The pavement's surface area without subsurface conditions|A conclusion that increased groundwater cannot affect damaged sewers|Source runoff benefits and groundwater effects need local assessment. Do not presume one intervention resolves every wet-weather pathway.|om
271|M|application|An overflow adds nutrients to a sensitive receiving water. What effect should an impact assessment consider?|Potential enrichment and associated oxygen/ecological effects|Automatic immediate removal of all dissolved nutrients|A guarantee that dilution eliminates ecological effects|The pipe's structural grade as the nutrient-response indicator|Nutrient enrichment can affect receiving-water ecology. Actual impact depends on loading, background conditions and the receiving system.|om
272|C|application|A Manitoba catchment shows increasing river flood levels and prolonged high groundwater. Which adaptation basis is most useful?|Locally relevant flood, groundwater and service-risk evidence|Apply a coastal sea-level scenario without identifying a local pathway|Retain historical averages without testing the observed changes|Set adaptation priority from plan age without examining current exposure|Adaptation should address credible local exposures. Avoid copying hazards from another location without a physical basis.|om
273|M|application|Downstream samples are collected only after a short overflow plume has passed. What limitation should be reported?|They may not characterize peak exposure during the event|They prove no earlier impact occurred|They establish the maximum released concentration|They make incident timing irrelevant|Sampling timing affects what can be inferred. Interpret results with the event timeline and monitoring limitations.|om
275|M|application|A CSO facility proposes chemical phosphorus removal. What is necessary before relying on the process?|Verified dosing, solids separation and performance under expected flows|Chemical addition without evaluating solids capture|A guarantee based on chemical name alone|A dissolved-oxygen reading as proof of phosphorus removal|Precipitation requires suitable chemistry and removal of the resulting solids. A generic chemical list is not performance evidence.|om
277|L|application|Real-time storage control delays release until downstream levels fall. Which operating constraint still matters?|Available upstream storage and safe release limits|Treat stored volume as removed from the downstream water balance|Depend on remote control without an evaluated local failure response|Use daily average flow without checking the current storage and levels|Control redistributes flow in time and space. It must respect storage and downstream capacity while handling failures safely.|om
278|M|application|GIS shows two parallel sewers but field inspection finds one abandoned. What should be reconciled before capacity modelling?|Actual connectivity and operational status|The display scale without checking assets|The sum of both original diameters as available capacity|The billing zone as proof both pipes operate|A map is useful only if it represents the current network. Confirm status before attributing capacity or flow paths.|om
279|E|recall|Which function describes SCADA in a distributed sewer network?|Supervisory monitoring and control of remote assets|Laboratory analysis of every wastewater sample|Automatic certification of operator competence|Structural rehabilitation of buried pipe defects|SCADA connects field information and supervisory commands. It does not replace physical work, competent oversight or all local controls.|om
280|S|application|An asset system shows repeated seal replacement but no associated operating conditions. What would improve diagnosis?|Link repairs to duty, measurements and observed failure details|Create a new unlinked asset identity for each replacement|Retain purchase costs without connecting them to the failure conditions|Discard earlier failure descriptions after each successful restart|Maintenance history becomes more useful when linked to the conditions and failure mechanism, rather than just replacement counts.|om
281|S|application|A utility resolves 18 of 24 urgent calls within its stated target. What percentage met the target?|75%|25%|80%|133%|18/24 × 100 = 75%. Report the denominator and definition so the measure is interpretable.|math
282|S|application|Using expected annual loss = failure probability × consequence, asset A has 0.10 and C$200,000; B has 0.02 and C$600,000. Which has higher expected loss?|A, at C$20,000/year|B, at C$600,000/year|B, at C$12,000/year|A, at C$2,000/year|A gives 0.10 × 200000 = 20000; B gives 0.02 × 600000 = 12000. This simplified metric does not capture every service or safety constraint.|math
283|S|application|Ignoring discounting and salvage, pump option A costs C$40,000 plus C$8,000/year for 5 years; B costs C$55,000 plus C$4,000/year. Which total is lower?|B at C$75,000|A at C$40,000|A at C$72,000|B at C$95,000|A totals 40000 + 5 × 8000 = 80000; B totals 55000 + 5 × 4000 = 75000. The stated comparison excludes discounting and residual value.|math
284|M|application|A model matches one storm after extreme roughness changes but fails another measured storm. What should calibration review address?|Physical plausibility and validation against independent events|The fit to the first event as sufficient proof|Removal of every event the model does not match|Use of the largest roughness value as a universal safety factor|Calibration must be plausible and tested beyond the fitting data. One matched event can conceal compensating errors.|om
285|C|application|A capacity program identifies both avoidable inflow and a downstream restriction. What should options analysis compare?|Source reduction and capacity measures against required performance|Pipe upsizing as the predetermined solution|Cleaning as proof that all wet-weather capacity is adequate|The cheapest intervention without checking its effect|Evaluate alternatives that address demonstrated constraints and verify whether they meet service requirements.|om
286|L|application|Off-peak pumping lowers electricity charges but increases wet-well retention and odour. What should optimization consider?|Energy cost alongside retention, capacity and reliability|The lowest tariff as the sole operating objective|A larger delay regardless of storage limits|The assumption that lower cost means lower energy use|Cost shifting and energy efficiency differ. Scheduling must also maintain acceptable hydraulic and process conditions.|lift
287|E|application|A vibration trend crosses an established maintenance trigger while a pump still runs. What is the condition-based response?|Assess the trend and plan appropriate intervention|Wait for the fixed overhaul date regardless of evidence|Treat running status as proof of good condition|Reset the trend without inspection|Condition-based maintenance uses observed deterioration to guide action. Confirm the measurement and respond according to risk.|om
289|S|application|Two rehabilitation options have similar cost but different traffic disruption and environmental effects. What should a broader evaluation include?|Service, social and environmental consequences|Compare purchase cost without evaluating the differing project consequences|Treat equal price as evidence of equivalent service outcomes|Select the shortest construction schedule without evaluating its impacts|Infrastructure decisions can have meaningful impacts beyond direct cost. Evaluate them transparently against the project's objectives.|om
290|C|application|A peak-reduction proposal installs storage without changing total incoming daily volume. What can storage primarily change?|The timing and rate of downstream delivery|The total volume by definition|The chemical mass by hydraulic retention alone|The customer's original wastewater production|Storage attenuates peaks by shifting delivery. It does not inherently remove water or pollutant mass.|math
291|M|application|A digital twin predicts surcharge, but the upstream level sensor is stale. What should the operator establish before relying on the prediction?|Input validity and uncertainty in the current prediction|That a live dashboard guarantees fresh measurements|That model complexity compensates for missing observations|That all stale values should be replaced with zero|A model's usefulness depends on current, valid inputs and understood limitations. Treat stale measurements explicitly.|om
293|S|application|Residents identify an access constraint omitted from a sewer project plan. What is the useful response to consultation?|Assess the concern and document a feasible resolution|Treat consultation as complete once notices were delivered|Reject the concern because hydraulic design is finished|Promise a change before verifying feasibility|Engagement can reveal practical constraints. Evaluate the input rather than treating communication as a one-way formality.|om
294|C|application|Stormwater diversion would reduce combined-sewer flow but raise discharge to a constrained receiving channel. What must planning consider?|Consequences across both sewer and receiving systems|The sewer flow reduction as the sole success criterion|A guarantee that diversion removes all environmental risk|The project boundary as a reason to ignore downstream effects|Integrated planning avoids solving one constraint by creating another. Evaluate the connected systems and applicable requirements.|om
295|S|application|A private operator manages a station, but the utility retains discharge obligations. What should contract oversight ensure?|Clear responsibilities and evidence of required service performance|An assumption that contracting removes public obligations|Reliance on invoice approval as compliance evidence|Transfer of every incident report to the contractor without oversight|Contracting work does not automatically remove the utility's obligations. Verify the actual allocation and performance requirements.|om
300|C|application|A trenchless method is economical on paper but cannot accommodate an existing severe offset. What should guide selection?|Compatibility with the verified defect and construction conditions|The lowest unit rate regardless of feasibility|The method used most often in another catchment|The assumption that all trenchless methods correct alignment|A cost comparison is meaningful only among technically feasible alternatives. The defect mechanism and geometry matter.|om
301|C|application|Inflow to storage is 80 L/s for 20 minutes while controlled outflow is 30 L/s. What usable storage is required for that interval?|60 m³|96 m³|36 m³|132 m³|Net inflow is 50 L/s for 1200 s: 60000 L = 60 m³. This interval calculation excludes initial stored volume and other inflows.|math
302|M|application|A hydraulic model predicts a bottleneck, but the surveyed invert is uncertain. What should precede a major capital decision?|Confirm the influential geometry and test sensitivity|Treat the model's precise output as proof of precise inputs|Increase pipe diameter until the warning disappears|Ignore the uncertainty because the software is calibrated elsewhere|Input uncertainty can materially affect conclusions. Verify influential assumptions before committing to major work.|om
